================================================================================
 SPAM DETECTION MODELS - DETAILED COMPARISON REPORT
================================================================================

Model 1 (Naive Bayes)
────────────────────────────────────────────────────────────────────────────────
  Accuracy:  0.9375 (93.75%)
  Precision: 0.8571 (85.71%)
  Recall:    1.0000 (100.00%)
  F1-Score:  0.9231 (92.31%)
  TP=54, TN=81, FP=9, FN=0

Model 2 (Enhanced Features)
────────────────────────────────────────────────────────────────────────────────
  Accuracy:  0.8958 (89.58%)
  Precision: 0.8197 (81.97%)
  Recall:    0.9259 (92.59%)
  F1-Score:  0.8696 (86.96%)
  TP=50, TN=79, FP=11, FN=4

Model 3 (TF-IDF + Ensemble)
────────────────────────────────────────────────────────────────────────────────
  Accuracy:  0.6319 (63.19%)
  Precision: 0.5047 (50.47%)
  Recall:    1.0000 (100.00%)
  F1-Score:  0.6708 (67.08%)
  TP=54, TN=37, FP=53, FN=0


================================================================================
 DETAILED PREDICTIONS
================================================================================

Filename                            True     Model1   Model2   Model3  
────────────────────────────────────────────────────────────────────────────────
test-ham-00001.txt                  ham      ham      ham      spam    
test-ham-00002.txt                  ham      ham      ham      ham     
test-ham-00003.txt                  ham      ham      ham      spam    
test-ham-00004.txt                  ham      ham      ham      spam    
test-ham-00005.txt                  ham      ham      ham      spam    
test-ham-00006.txt                  ham      ham      ham      ham     
test-ham-00007.txt                  ham      ham      ham      ham     
test-ham-00008.txt                  ham      ham      ham      ham     
test-ham-00009.txt                  ham      ham      ham      spam    
test-ham-00010.txt                  ham      ham      ham      spam    
test-ham-00011.txt                  ham      ham      ham      ham     
test-ham-00012.txt                  ham      ham      ham      ham     
test-ham-00013.txt                  ham      ham      ham      ham     
test-ham-00014.txt                  ham      ham      ham      ham     
test-ham-00015.txt                  ham      ham      ham      ham     
test-ham-00016.txt                  ham      ham      ham      ham     
test-ham-00017.txt                  ham      ham      ham      ham     
test-ham-00018.txt                  ham      ham      ham      ham     
test-ham-00019.txt                  ham      ham      ham      spam    
test-ham-00020.txt                  ham      ham      ham      ham     
test-ham-00021.txt                  ham      ham      ham      ham     
test-ham-00022.txt                  ham      ham      ham      ham     
test-ham-00023.txt                  ham      ham      ham      spam    
test-ham-00024.txt                  ham      ham      ham      ham     
test-ham-00025.txt                  ham      ham      ham      spam    
test-ham-00026.txt                  ham      ham      spam     spam    
